# Force coefficients
# liftDir  : (0.000e+00 0.000e+00 1.000e+00)
# dragDir  : (1.000e+00 0.000e+00 0.000e+00)
# pitchAxis: (0.000e+00 1.000e+00 0.000e+00)
# magUInf  : 1.500e+01
# lRef     : 1.590e+00
# Aref     : 7.259e-01
# CofR     : (7.200e-01 0.000e+00 0.000e+00)
# Time     	Cm         	Cd         	Cl         	Cl(f)      	Cl(r)      
72         	-3.186e+00	-1.309e+00	-3.471e+00	-4.921e+00	1.450e+00
73         	-3.188e+00	-1.313e+00	-3.473e+00	-4.924e+00	1.451e+00
74         	-3.189e+00	-1.316e+00	-3.474e+00	-4.926e+00	1.452e+00
75         	-3.191e+00	-1.319e+00	-3.478e+00	-4.930e+00	1.452e+00
76         	-3.196e+00	-1.321e+00	-3.485e+00	-4.938e+00	1.454e+00
77         	-3.202e+00	-1.323e+00	-3.495e+00	-4.949e+00	1.455e+00
78         	-3.208e+00	-1.326e+00	-3.507e+00	-4.962e+00	1.455e+00
79         	-3.213e+00	-1.328e+00	-3.519e+00	-4.973e+00	1.454e+00
80         	-3.216e+00	-1.331e+00	-3.530e+00	-4.981e+00	1.451e+00
81         	-3.216e+00	-1.333e+00	-3.539e+00	-4.986e+00	1.447e+00
82         	-3.212e+00	-1.333e+00	-3.544e+00	-4.985e+00	1.440e+00
83         	-3.203e+00	-1.331e+00	-3.543e+00	-4.975e+00	1.432e+00
84         	-3.188e+00	-1.326e+00	-3.534e+00	-4.955e+00	1.421e+00
85         	-3.168e+00	-1.320e+00	-3.519e+00	-4.927e+00	1.408e+00
86         	-3.144e+00	-1.313e+00	-3.501e+00	-4.895e+00	1.394e+00
87         	-3.120e+00	-1.305e+00	-3.483e+00	-4.861e+00	1.378e+00
88         	-3.098e+00	-1.299e+00	-3.467e+00	-4.831e+00	1.364e+00
89         	-3.080e+00	-1.293e+00	-3.457e+00	-4.809e+00	1.352e+00
90         	-3.069e+00	-1.290e+00	-3.453e+00	-4.796e+00	1.343e+00
91         	-3.065e+00	-1.288e+00	-3.456e+00	-4.793e+00	1.337e+00
92         	-3.067e+00	-1.287e+00	-3.463e+00	-4.799e+00	1.335e+00
93         	-3.075e+00	-1.288e+00	-3.476e+00	-4.813e+00	1.337e+00
94         	-3.088e+00	-1.289e+00	-3.491e+00	-4.833e+00	1.343e+00
95         	-3.104e+00	-1.290e+00	-3.508e+00	-4.858e+00	1.350e+00
96         	-3.122e+00	-1.291e+00	-3.525e+00	-4.884e+00	1.359e+00
97         	-3.139e+00	-1.292e+00	-3.541e+00	-4.910e+00	1.369e+00
98         	-3.156e+00	-1.292e+00	-3.557e+00	-4.935e+00	1.378e+00
99         	-3.173e+00	-1.293e+00	-3.572e+00	-4.959e+00	1.387e+00
100        	-3.190e+00	-1.294e+00	-3.588e+00	-4.984e+00	1.396e+00
101        	-3.208e+00	-1.293e+00	-3.605e+00	-5.011e+00	1.406e+00
102        	-3.227e+00	-1.292e+00	-3.624e+00	-5.039e+00	1.415e+00
103        	-3.246e+00	-1.291e+00	-3.643e+00	-5.067e+00	1.424e+00
104        	-3.263e+00	-1.290e+00	-3.661e+00	-5.094e+00	1.433e+00
105        	-3.279e+00	-1.289e+00	-3.676e+00	-5.117e+00	1.441e+00
106        	-3.291e+00	-1.290e+00	-3.687e+00	-5.134e+00	1.447e+00
107        	-3.298e+00	-1.291e+00	-3.693e+00	-5.144e+00	1.451e+00
108        	-3.298e+00	-1.293e+00	-3.691e+00	-5.144e+00	1.453e+00
109        	-3.293e+00	-1.295e+00	-3.683e+00	-5.134e+00	1.451e+00
110        	-3.281e+00	-1.297e+00	-3.669e+00	-5.116e+00	1.447e+00
111        	-3.267e+00	-1.299e+00	-3.651e+00	-5.092e+00	1.441e+00
112        	-3.251e+00	-1.300e+00	-3.633e+00	-5.067e+00	1.434e+00
