# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
22         	((-1.909e+01 -8.276e-01 -9.766e+01) (-2.123e-01 3.867e-03 5.284e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.417e+01 6.235e+01 8.656e+00) (2.330e-02 8.838e-04 9.079e-02) (0.000e+00 0.000e+00 0.000e+00))
23         	((-1.914e+01 -7.728e-01 -9.869e+01) (-2.127e-01 3.876e-03 5.260e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.449e+01 6.310e+01 8.727e+00) (2.326e-02 1.036e-03 9.098e-02) (0.000e+00 0.000e+00 0.000e+00))
24         	((-1.916e+01 -7.438e-01 -9.933e+01) (-2.132e-01 3.879e-03 5.240e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.468e+01 6.357e+01 8.765e+00) (2.323e-02 1.174e-03 9.121e-02) (0.000e+00 0.000e+00 0.000e+00))
25         	((-1.918e+01 -6.824e-01 -1.002e+02) (-2.137e-01 3.889e-03 5.225e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.497e+01 6.425e+01 8.827e+00) (2.321e-02 1.309e-03 9.146e-02) (0.000e+00 0.000e+00 0.000e+00))
26         	((-1.915e+01 -6.514e-01 -1.008e+02) (-2.142e-01 3.896e-03 5.218e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.514e+01 6.466e+01 8.846e+00) (2.322e-02 1.439e-03 9.171e-02) (0.000e+00 0.000e+00 0.000e+00))
27         	((-1.909e+01 -5.641e-01 -1.015e+02) (-2.147e-01 3.901e-03 5.219e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.537e+01 6.522e+01 8.882e+00) (2.325e-02 1.563e-03 9.196e-02) (0.000e+00 0.000e+00 0.000e+00))
28         	((-1.903e+01 -5.254e-01 -1.020e+02) (-2.151e-01 3.911e-03 5.222e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.551e+01 6.557e+01 8.888e+00) (2.330e-02 1.695e-03 9.220e-02) (0.000e+00 0.000e+00 0.000e+00))
29         	((-1.895e+01 -4.233e-01 -1.026e+02) (-2.154e-01 3.926e-03 5.226e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.571e+01 6.608e+01 8.916e+00) (2.334e-02 1.839e-03 9.242e-02) (0.000e+00 0.000e+00 0.000e+00))
30         	((-1.889e+01 -3.906e-01 -1.030e+02) (-2.158e-01 3.951e-03 5.232e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.585e+01 6.642e+01 8.917e+00) (2.340e-02 1.967e-03 9.265e-02) (0.000e+00 0.000e+00 0.000e+00))
31         	((-1.884e+01 -3.192e-01 -1.037e+02) (-2.162e-01 3.973e-03 5.238e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.607e+01 6.692e+01 8.936e+00) (2.345e-02 2.094e-03 9.287e-02) (0.000e+00 0.000e+00 0.000e+00))
