# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
22         	((-3.349e+01 1.204e+01 3.707e+01) (-3.251e-01 -2.969e-02 -1.430e+00) (0.000e+00 0.000e+00 0.000e+00)) ((6.770e+00 3.512e+01 -1.741e+00) (-8.177e-01 -2.364e+00 1.677e-01) (0.000e+00 0.000e+00 0.000e+00))
23         	((-3.218e+01 1.072e+01 3.794e+01) (-3.164e-01 -3.154e-02 -1.468e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.008e+00 3.518e+01 -1.404e+00) (-8.401e-01 -2.425e+00 1.665e-01) (0.000e+00 0.000e+00 0.000e+00))
24         	((-3.132e+01 9.760e+00 3.807e+01) (-3.068e-01 -3.319e-02 -1.517e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.065e+00 3.494e+01 -9.880e-01) (-8.692e-01 -2.504e+00 1.643e-01) (0.000e+00 0.000e+00 0.000e+00))
25         	((-3.029e+01 8.644e+00 3.833e+01) (-2.958e-01 -3.500e-02 -1.583e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.207e+00 3.454e+01 -4.414e-01) (-9.079e-01 -2.610e+00 1.614e-01) (0.000e+00 0.000e+00 0.000e+00))
26         	((-2.965e+01 7.986e+00 3.819e+01) (-2.845e-01 -3.731e-02 -1.668e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.182e+00 3.409e+01 -1.146e-01) (-9.579e-01 -2.746e+00 1.591e-01) (0.000e+00 0.000e+00 0.000e+00))
27         	((-2.869e+01 7.484e+00 3.823e+01) (-2.734e-01 -4.075e-02 -1.781e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.250e+00 3.355e+01 1.518e-01) (-1.024e+00 -2.927e+00 1.582e-01) (0.000e+00 0.000e+00 0.000e+00))
28         	((-2.815e+01 7.403e+00 3.832e+01) (-2.614e-01 -4.411e-02 -1.927e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.287e+00 3.337e+01 1.333e-01) (-1.111e+00 -3.163e+00 1.564e-01) (0.000e+00 0.000e+00 0.000e+00))
29         	((-2.719e+01 7.605e+00 3.863e+01) (-2.500e-01 -4.725e-02 -2.108e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.420e+00 3.308e+01 -6.126e-02) (-1.217e+00 -3.456e+00 1.546e-01) (0.000e+00 0.000e+00 0.000e+00))
30         	((-2.678e+01 7.858e+00 3.880e+01) (-2.394e-01 -5.008e-02 -2.317e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.483e+00 3.289e+01 -3.128e-01) (-1.339e+00 -3.796e+00 1.526e-01) (0.000e+00 0.000e+00 0.000e+00))
31         	((-2.622e+01 8.242e+00 3.942e+01) (-2.278e-01 -5.254e-02 -2.563e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.716e+00 3.276e+01 -6.648e-01) (-1.482e+00 -4.196e+00 1.495e-01) (0.000e+00 0.000e+00 0.000e+00))
32         	((-2.599e+01 8.562e+00 3.979e+01) (-2.157e-01 -5.592e-02 -2.845e+00) (0.000e+00 0.000e+00 0.000e+00)) ((7.889e+00 3.268e+01 -1.015e+00) (-1.644e+00 -4.654e+00 1.475e-01) (0.000e+00 0.000e+00 0.000e+00))
